City,Subject,Participants,Time,Description,State,Date,Date_start,Date_end
Philadelphia,"George Floyd, Minneapolis, General",100+ (est.) demonstrators,Afternoon,Impromptu confrontational march through city,PA,"Saturday, May 30, 2020",2020-05-30,NA
Newark,"George Floyd, Minneapolis, General",Hundreds (est.) demonstrators,Afternoon,March from & back to rally at Lincoln Monument,NJ,"Saturday, May 30, 2020",2020-05-30,NA
Des Moines,"George Floyd, Minneapolis, General",1000+ demonstrators,Afternoon-Morning,March w/ protesters kneeling during moment of silence,IA,"Saturday, May 30, 2020",2020-05-30,NA
Madison,"George Floyd, Minneapolis, General",150 (est.) demonstrators,Afternoon,Impromptu march/riot through city,WI,"Saturday, May 30, 2020",2020-05-30,NA
Austin,"George Floyd, Minneapolis, Mike Ramos, General",400+ (est.) demonstrators,Afternoon,"Rally at Austin PD building, march w/ I-35 shutdown",TX,"Saturday, May 30, 2020",2020-05-30,NA
Minneapolis,"George Floyd, Minneapolis, General",Hundreds (est.) demonstrators,Afternoon,No details included for this demonstration.,MN,"Saturday, May 30, 2020",2020-05-30,NA
Columbus,"George Floyd, Minneapolis, General",2000 demonstrators,Morning-Evening,Organized rally at & march around Statehouse; march thru city w/ tension escalated by police,OH,"Saturday, May 30, 2020",2020-05-30,NA
Chicago,"George Floyd, Ahmaud Arbery, Breonna Taylor, Minneapolis, General",3000 demonstrators,Afternoon-Evening,"Rally at Federal Plaza, march through city w/ Lake Shore Drive shutdown, sit-ins in street; march became more confrontational after organized event en",IL,"Saturday, May 30, 2020",2020-05-30,NA
Greensboro,"George Floyd, Minneapolis, General",200+ (est.) demonstrators,Afternoon-Evening,"Rally at Civil Rights Center, march w/ I-40 shutdown",NC,"Saturday, May 30, 2020",2020-05-30,NA
Los Angeles,"George Floyd, Minneapolis, General",10000 demonstrators,Afternoon,"Organized rally at Pan Pacific Park; impromptu march thru city w/ chants of ""eat the rich"" in Beverly Hills, grew more confrontational into evening",CA,"Saturday, May 30, 2020",2020-05-30,NA
Washington,"George Floyd, Minneapolis, General",Unclear # of demonstrators,Evening,No details included for this demonstration.,DC,"Saturday, May 30, 2020",2020-05-30,NA
Baltimore,"George Floyd, Minneapolis, General",Hundreds (est.) demonstrators,Afternoon,No details included for this demonstration.,MD,"Saturday, May 30, 2020",2020-05-30,NA
Temecula,"George Floyd, Minneapolis, General",500 demonstrators,Morning-Afternoon,1st protest of the day at Duck Pond,CA,"Saturday, May 30, 2020",2020-05-30,NA
Temecula,"George Floyd, Minneapolis, Breonna Taylor, Louisville, General",150+ (est.) demonstrators,Afternoon,2nd protest of the day at Duck Pond,CA,"Saturday, May 30, 2020",2020-05-30,NA
Riverside,"George Floyd, Minneapolis, General",50 demonstrators,Afternoon,Socially distanced (due COVID-19) roadside protest,CA,"Saturday, May 30, 2020",2020-05-30,NA
Rancho Cucamonga,"George Floyd, Minneapolis, General",200 demonstrators,Morning-Afternoon,No details included for this demonstration.,CA,"Saturday, May 30, 2020",2020-05-30,NA
Pomona,"George Floyd, Minneapolis, General",250 demonstrators,Afternoon,"Roadside protest, march to City Hall",CA,"Saturday, May 30, 2020",2020-05-30,NA
Los Angeles,"George Floyd, Minneapolis, Boyle Heights, General",300 demonstrators,Afternoon,"In Boyle Heights, rally at Mariachi Plaza",CA,"Saturday, May 30, 2020",2020-05-30,NA
San Antonio,"George Floyd, Minneapolis, General",5000 demonstrators,Evening,No details included for this demonstration.,TX,"Saturday, May 30, 2020",2020-05-30,NA
Grand Rapids,"George Floyd, Minneapolis, Breonna Taylor, Louisville, General",Unclear # of demonstrators,Evening,"Rally at Rosa Parks Circle, one march to Grand Rapids PD building & another through downtown",MI,"Saturday, May 30, 2020",2020-05-30,NA
Pittsburgh,"George Floyd, Minneapolis, General",Thousands of demonstrators,Afternoon-Evening,No details for this protest,PA,"Saturday, May 30, 2020",2020-05-30,NA
Harrisburg,"George Floyd, Minneapolis, General",Hundreds of demonstrators,Afternoon-Evening,No details included for this demonstration.,PA,"Saturday, May 30, 2020",2020-05-30,NA
Fargo,"George Floyd, Minneapolis, General",2000 demonstrators,Morning-Evening,No details included for this demonstration.,ND,"Saturday, May 30, 2020",2020-05-30,NA
Seattle,"George Floyd, Minneapolis, John T. Williams (nonblack), General",Thousands of demonstrators,Afternoon-Evening,March w/ shutdown of I-5,WA,"Saturday, May 30, 2020",2020-05-30,NA
Seattle,"George Floyd, Minneapolis, General",Hundreds of demonstrators,Afternoon,"Rally outside Seattle PD building, march on sidewalks",WA,"Saturday, May 30, 2020",2020-05-30,NA
Nashville,"George Floyd, Minneapolis, General",Hundreds of demonstrators,Afternoon,"Rally at Legislative Plaza, march through city",TN,"Saturday, May 30, 2020",2020-05-30,NA
Salt Lake City,"George Floyd, Minneapolis, General",Thousands of demonstrators,Afternoon-Evening,No details included for this demonstration.,UT,"Saturday, May 30, 2020",2020-05-30,NA
Toledo,"George Floyd, Minneapolis, General",Hundreds of demonstrators,Afternoon-Evening,No details included for this demonstration.,OH,"Saturday, May 30, 2020",2020-05-30,NA
Raleigh,"George Floyd, Minneapolis, Breonna Taylor, Louisville, General",Thousands of demonstrators,Evening,"Rally at County Courthouse, multiple marches",NC,"Saturday, May 30, 2020",2020-05-30,NA
Durham,"George Floyd, Minneapolis, General",200 demonstrators,Afternoon,March to Courthouse & police HQ; mini-rallies on stops during march,NC,"Saturday, May 30, 2020",2020-05-30,NA
Durham,"George Floyd, Minneapolis, General",100 demonstrators,Evening,"Rally at Five Points, march through city",NC,"Saturday, May 30, 2020",2020-05-30,NA
Fayetteville,"George Floyd, Minneapolis, General",Unclear # of demonstrators,Evening,No details included for this demonstration.,NC,"Saturday, May 30, 2020",2020-05-30,NA
La Mesa,"La Mesa Police Department, George Floyd, Minneapolis, General",1000 demonstrators,Afteroon-Evening,"Gathering at PD buidling, march through city w/ I-55 shutdown",CA,"Saturday, May 30, 2020",2020-05-30,NA
Santa Ana,"George Floyd, Minneapolis, General",200 demonstrators,Evening,No details included for this demonstration.,CA,"Saturday, May 30, 2020",2020-05-30,NA
Little Rock,"George Floyd, Minneapolis, General",300-400 demonstrators,Evening,March w/ I-630 shutdown,AR,"Saturday, May 30, 2020",2020-05-30,NA
New York,"George Floyd, Minneapolis, General",100 (est.) demonstrators,Afternoon,Impromptu march thru downtown w/ flag burning,NY,"Saturday, May 30, 2020",2020-05-30,NA
Newark,"George Floyd, Minneapolis, General",100+ (est.) demonstrators,Afternoon,Impromptu march thru downtown ending 1st precinct building,NJ,"Saturday, May 30, 2020",2020-05-30,NA
New Orleans,"George Floyd, Minneapolis, General",1000+ (est.) demonstrators,Afternoon,Socially distanced march from Duncan Plaza to New Orleans police building,LA,"Saturday, May 30, 2020",2020-05-30,NA
New Orleans,"George Floyd, Minneapolis, General",1500 demonstrators,Evening,2.5 hour rally at Duncan Plaza,LA,"Saturday, May 30, 2020",2020-05-30,NA
New Orleans,"George Floyd, Minneapolis, General",100 demonstrators,Morning,"Rally at Audubon Park, march on sidewalk",LA,"Saturday, May 30, 2020",2020-05-30,NA
Baton Rouge,"George Floyd, Minneapolis, General",Unclear # of demonstrators,Morning,Vigil at Elevate Church,LA,"Saturday, May 30, 2020",2020-05-30,NA
Philadelphia,"George Floyd, Minneapolis, General",3000 demonstrators,Afternoon,"Organized rally at City Hall began at noon, march to BLM Philly protest at Philadelphia Museum of Art",PA,"Saturday, May 30, 2020",2020-05-30,NA
Philadelphia,"Regis Korchinski-Paquet, Tony McDade, George Floyd, Breonna Taylor, Ahmaud Arbery, Minneapolis, Louisville, General",3000 demonstrators,Afternoon,Organized by BLM Philly (began at 2pm); Rally at Philadelphia Museum of Art,PA,"Saturday, May 30, 2020",2020-05-30,NA
Philadelphia,"Philadelphia, George Floyd, Minneapolis, General",Unclear # of demonstrators,Afternoon-Evening,Impromptu gathering at & vandalism of statue of former Mayor Frank L. Rizzo,PA,"Saturday, May 30, 2020",2020-05-30,NA
Madison,"George Floyd, Breonna Taylor, Tony McDade, Sean Reed, Tony Robinson, Minneapolis, General",Unclear # of demonstrators,Afternoon,Organized rally at Capitol,WI,"Saturday, May 30, 2020",2020-05-30,NA
Des Moines,"George Floyd, Minneapolis, General",200 (est.) demonstrators,Evening,"Rally outside Des Moines police building, confrontational march through city",IA,"Saturday, May 30, 2020",2020-05-30,NA
Greensboro,"George Floyd, Minneapolis, General",150 demonstrators,Evening,2nd protest of day in Greensboro,NC,"Saturday, May 30, 2020",2020-05-30,NA
Oak Park,"George Floyd, Minneapolis, General",20 (est.) demonstrators,Evening,No details included for this demonstration.,IL,"Saturday, May 30, 2020",2020-05-30,NA
Bakersfield,"George Floyd, Minneapolis, General",200-300 demonstrators,Evening,No details included for this demonstration.,CA,"Saturday, May 30, 2020",2020-05-30,NA
Louisville,"Breonna Taylor, George Floyd, Minneapolis, General",Hunreds demonstrators,Evening,No details included for this demonstration.,KY,"Saturday, May 30, 2020",2020-05-30,NA
Phoenix,"George Floyd, Minneapolis, General",Hundreds of demonstrators,Evening,No details included for this demonstration.,AZ,"Saturday, May 30, 2020",2020-05-30,NA
Minneapolis,"George Floyd, Ofc. Derek Chauvin, Minneapolis Police Department",Hundreds of demonstrators,Afternoon-Morning,"Rally, picket, riot beginning outside 3rd precinct building, which was burned down; CNN reporter and film crew arrested",MN,"Thursday, May 28, 2020 - Friday, May 29, 2020",2020-05-28,2020-05-29
Denver,"George Floyd, Breonna Taylor, Sean Reed, General",Hundreds of demonstrators,Evening,"Rally outside Capitol, march through city; gun shots from unknown source; car ran over 3 protesters & another car allegedly tried to run over 1 protes",CO,"Thursday, May 28, 2020 - Friday, May 29, 2020",2020-05-28,2020-05-29
Denver,"George Floyd, Breonna Taylor, Sean Reed, General",Dozens of demonstrators,Evening,I-25 shutdown by group formed partially from earlier protest at Capitol,CO,"Thursday, May 28, 2020 - Friday, May 29, 2020",2020-05-28,2020-05-29
New York,"George Floyd, Minneapolis, Breonna Taylor, Louisville, General",Thousands of demonstrators,Evening,"In Brooklyn, rally outside Barclay's Center; march through borough w/ attempts to takeover NYPD precinct buildings",NY,"Friday, May 29, 2020",2020-05-29,NA
Houston,"George Floyd, Minneapolis, General",Hundreds (est.) demonstrators,Afternoon,"March from Discovery Green to City Hall, rally",TX,"Friday, May 29, 2020",2020-05-29,NA
Chicago,"George Floyd, Minneapolis",Hundreds (est.) demonstrators,Evening,March through city w/ highway blockade; reenactment of Floyd killing,IL,"Friday, May 29, 2020",2020-05-29,NA
Portland,"George Floyd, Minneapolis",1000+ demonstrators,Evening-Morning,"Organized vigil in Peninsula Park, march to Justice Center; impromptu march through city",OR,"Friday, May 29, 2020",2020-05-29,NA
Portland,"George Floyd, Minneapolis",Hundreds (est.) demonstrators,Evening,3+ hour march through city; most wore masks due to COVID-19,ME,"Friday, May 29, 2020",2020-05-29,NA
Portland,"George Floyd, Minneapolis",Unclear # of demonstrators,Afternoon-Evening,March from City Hall to police station to Monument Square,ME,"Friday, May 29, 2020",2020-05-29,NA
Fort Wayne,"George Floyd, Minneapolis, General",Hundreds (est.) demonstrators,Evening,Current protest (final details will be updated on 5/30/20),IN,"Friday, May 29, 2020",2020-05-29,NA
Kansas City,"George Floyd, Minneapolis, General",Hundreds of demonstrators,Evening,"Rally at County Club Plaza, march through city",MO,"Friday, May 29, 2020",2020-05-29,NA
Las Vegas,"George Floyd, Minneapolis",Hundreds (est.) demonstrators,Afternoon-Evening,On the Vegas strip,NV,"Friday, May 29, 2020",2020-05-29,NA
San Jose,"George Floyd, Minneapolis",300+ (est.) demonstrators,Afternoon-Evening,"Rally, march from City Hall w/ shutdown of Highway 101",CA,"Friday, May 29, 2020",2020-05-29,NA
Boston,"George Floyd, Minneapolis, Terrence Coleman, Ahmaud Arbery, Breonna Taylor",Hundreds (est.) demonstrators,Evening,"Current protest that began as rally in Peters Park against killing of Floyd, became march through city",MA,"Friday, May 29, 2020",2020-05-29,NA
Lexington,"Breonna Taylor, George Floyd",Hundreds (est.) demonstrators,Evening,March through city; 8-minute die-in for 8 times Taylor was shot by police,KY,"Friday, May 29, 2020",2020-05-29,NA
New York,"Christian Cooper, Amy Cooper, DA Cyrus Vance, George Floyd, Breonna Taylor, Ahmaud Arbery, General",Hundreds (est.) demonstrators,Afternoon-Evening,"In Manhattan, rally at Foley Square, march to Vance's office",NY,"Friday, May 29, 2020",2020-05-29,NA
Houston,"George Floyd, Minneapolis, General",Hundreds (est.) demonstrators,Evening,Impromptu march through city with street & highway blockades,TX,"Friday, May 29, 2020",2020-05-29,NA
Dallas,"George Floyd, Breonna Taylor, Minneapolis, Louisville, General",150 demonstrators,Evening,"Rally, march incl. I-35E shutdown",TX,"Friday, May 29, 2020",2020-05-29,NA
Fort Worth,"Atatiana Jefferson, George Floyd, Minneapolis, General",100-200 demonstrators,Evening,"Organized rally, march from County Courthouse to Convention Center; impromptu march through city",TX,"Friday, May 29, 2020",2020-05-29,NA
Lancaster,"George Floyd, Minneapolis, General",Unclear # of demonstrators,Evening,No details included for this demonstration.,PA,"Friday, May 29, 2020",2020-05-29,NA
Charlotte,"George Floyd, Minneapolis, General",250 demonstrators,Evening,Outside Beatties Ford precinct building,NC,"Friday, May 29, 2020",2020-05-29,NA
Des Moines,"George Floyd, Minneapolis, General",Hundreds of demonstrators,Evening,Rally outside police dept,IA,"Friday, May 29, 2020",2020-05-29,NA
Des Moines,"George Floyd, Minneapolis, General",Hundreds of demonstrators,Evening,Impromptu march through city,IA,"Friday, May 29, 2020",2020-05-29,NA
Oakland,"George Floyd, Minneapolis, General",Hundreds (est.) demonstrators,Evening,March from to Oakland police building; march split in two separate through city,CA,"Friday, May 29, 2020",2020-05-29,NA
Knoxville,"George Floyd, Minneapolis, General",Hundreds of demonstrators,Evening,Rally outside Knoxville PD building,TN,"Friday, May 29, 2020",2020-05-29,NA
Knoxville,"George Floyd, Minneapolis, Tamir Rice, Walter Scott, Stephon Clarke, Breonna Taylor, General",Hundreds of demonstrators,Evening,Impromptu march through city,TN,"Friday, May 29, 2020",2020-05-29,NA
Sacramento,"George Floyd, Minneapolis, General",1000 demonstrators,Evening,"Rally, march through city",CA,"Friday, May 29, 2020",2020-05-29,NA
Minneapolis,"George Floyd, Ofc. Derek Chauvin, Minneapolis Police Department",Thousands of demonstrators,Evening,"Rally outside County Gov Center, 3-hr march thru city",MN,"Thursday, May 28, 2020",2020-05-28,NA
Minneapolis,"George Floyd, Ofc. Derek Chauvin, Minneapolis Police Department",Hundreds of demonstrators,Evening (est.),March on E. 26th street,MN,"Thursday, May 28, 2020",2020-05-28,NA
St. Paul,"George Floyd, Ofc. Derek Chauvin, Minneapolis Police Department",Unclear # of demonstrators,Afternoon,"Rally, picket in Target parking lot against Floyd's killing; repeated thefts, burning of businesses",MN,"Thursday, May 28, 2020",2020-05-28,NA
Oakdale,"George Floyd, Ofc. Derek Chauvin, Marcus Golden",150 (est.) demonstrators,Afternoon-Evening,"Outside the home of Chauvin, who killed Floyd; aunt of Golden, who was killed by St. Paul police in 2015, participated & was arrested",MN,"Thursday, May 28, 2020",2020-05-28,NA
Denver,"George Floyd, Breonna Taylor, Sean Reed, General",200 (est.) demonstrators,Evening,Outside Denver PD District 6 building,CO,"Thursday, May 28, 2020",2020-05-28,NA
Columbus,George Floyd,400 demonstrators,Evening,"March around Capitol; rally in, shutdown of intersection",OH,"Thursday, May 28, 2020",2020-05-28,NA
Columbus,"George Floyd, Minneapolis",Unclear # of demonstrators,Evening,At Livingston & Lockbourne intersection,OH,"Thursday, May 28, 2020",2020-05-28,NA
New York,"George Floyd, Minneapolis",Hundreds of demonstrators,Afternoon,Rally in Union Square; in defiance of COVID-19 gathering restrictions; most wore masks due to COVID-19 pandemic,NY,"Thursday, May 28, 2020",2020-05-28,NA
Framingham,"George Floyd, Minneapolis, General",30 demonstrators,Afternoon,Roadside demonstration by Framingham High School alumni,MA,"Thursday, May 28, 2020",2020-05-28,NA
Los Angeles,"George Floyd, Minneapolis",Hundreds of demonstrators,Afternoon-Evening,"Against killing of Floyd; rally outside LA County Hall of Justice, march & shutdown of 101 freeway; many wore masks due to COVID-19 pandemic",CA,"Wednesday, May 27, 2020",2020-05-27,NA
Minneapolis,"George Floyd, Ofc. Derek Chauvin, Minneapolis Police Department",Thousands of demonstrators,Evening,Rally & riot outside 3rd precinct station; many wore masks due to COVID-19 pandemic,MN,"Wednesday, May 27, 2020",2020-05-27,NA
Oakdale,"George Floyd, Ofc. Derek Chauvin",100+ demonstrators,Evening,"Outside the home of Chauvin, who killed Floyd",MN,"Wednesday, May 27, 2020",2020-05-27,NA
Minneapolis,"George Floyd, Ofc. Derek Chauvin, Minneapolis Police Department",50 (est.) demonstrators,Morning-Afternoon,At site where Chauvin knelt on Floyd's neck,MN,"Wednesday, May 27, 2020",2020-05-27,NA
Duluth,"George Floyd, Ofc. Derek Chauvin, Minneapolis Police Department, General",100+ demonstrators,Afternoon-Evening,Against killing of Floyd by Chauvin; shutdown of intersection; most wore masks & organizers brought masks due to COVID-19 pandemic,MN,"Wednesday, May 27, 2020",2020-05-27,NA
Houston,George Floyd,200+ demonstrators,Evening,Vigil at Emancipation Park; Floyd lived in Houston's 3rd ward for most of his life,TX,"Wednesday, May 27, 2020",2020-05-27,NA
Memphis,"George Floyd, Breonna Taylor, Ahmaud Arbery",50-60 demonstrators,Evening,No details included for this demonstration.,TN,"Wednesday, May 27, 2020",2020-05-27,NA
Minneapolis,"George Floyd, Minneapolis Police Department",Thousands of demonstrators,Evening,March from site where officer knelt on Floyd's neck (Floyd later died) to 3rd precinct; many wore masks due to COVID-19 pandemic,MN,"Tuesday, May 26, 2020",2020-05-26,NA
Chicago,"George Floyd, Minneapolis",Dozens of demonstrators,Evening,Outside Chicago Public Safety Headquarters in solidarity with Minneapolis over killing of Floyd by police,IL,"Tuesday, May 26, 2020",2020-05-26,NA
Milwaukee,"George Floyd, Minneapolis, Milwaukee, General",Hundreds (est.) demonstrators,Afternoon-Morning,"Rally, march through city w/ I-43 & I-94 shutdowns",WI,"Friday, May 29, 2020",2020-05-29,NA
